16,16,16,16,16,12,12,12,12,14,14,14,14,8,8,8
16,16,16,16,16,12,12,12,12,14,14,14,14,8,8,8
16,16,16,16,12,12,12,12,12,13,13,13,13,8,8,8
16,16,16,16,12,12,12,12,12,13,13,13,13,8,8,8
15,15,16,1,1,12,12,12,12,13,13,13,13,8,8,8
15,15,16,1,1,11,11,11,11,13,13,13,13,8,8,8
15,15,1,1,1,1,11,11,11,13,13,13,13,10,10,10
15,15,1,1,1,1,11,11,11,6,6,6,6,10,10,10
15,15,1,1,1,11,11,11,11,6,6,6,6,6,3,3
2,2,1,1,1,7,7,7,7,5,5,6,6,6,3,3
2,2,1,1,1,7,7,7,7,5,5,6,6,3,3,3
2,2,2,7,7,7,7,7,7,5,5,6,6,3,3,3
2,2,2,7,7,7,7,7,5,5,5,6,6,6,3,4
9,9,9,7,7,7,7,7,5,5,5,5,4,4,4,4
9,9,9,7,7,7,7,7,5,5,5,5,4,4,4,4
9,9,9,7,7,7,7,7,5,5,5,5,4,4,4,4
