X,Y,Tile Offset,Attribute Mixing,Attributes
e0,f8,46,LocalAttribs,20
e0,f0,47,LocalAttribs,20
e0,e8,48,LocalAttribs,20
e8,0,46,LocalAttribs,20
e8,f8,47,LocalAttribs,20
e8,f0,46,LocalAttribs,40
f0,8,46,LocalAttribs,20
f0,0,47,LocalAttribs,20
f0,f8,46,LocalAttribs,40
f8,10,46,LocalAttribs,20
f8,8,47,LocalAttribs,20
f8,0,46,LocalAttribs,40
0,18,49,LocalAttribs,20
0,10,47,LocalAttribs,20
0,8,46,LocalAttribs,40
8,10,4a,LocalAttribs,20
18,0,4b,LocalAttribs,20
18,f8,4c,LocalAttribs,20
18,f0,4c,LocalAttribs,0
18,e8,4b,LocalAttribs,0
