X,Y,Tile Offset,Attribute Mixing,Attributes
e0,10,44,LocalAttribs,60
e0,8,45,LocalAttribs,60
e0,0,44,LocalAttribs,60
e0,f8,45,LocalAttribs,60
e0,f0,44,LocalAttribs,60
e0,e8,45,LocalAttribs,60
e8,10,44,LocalAttribs,60
e8,8,45,LocalAttribs,60
e8,0,44,LocalAttribs,60
e8,f8,45,LocalAttribs,60
e8,f0,44,LocalAttribs,60
e8,e8,45,LocalAttribs,60
f0,10,44,LocalAttribs,60
f0,8,45,LocalAttribs,60
f0,0,44,LocalAttribs,60
f0,f8,45,LocalAttribs,60
f0,f0,44,LocalAttribs,60
f0,e8,45,LocalAttribs,60
f8,10,42,LocalAttribs,60
f8,8,43,LocalAttribs,60
f8,0,42,LocalAttribs,60
f8,f8,43,LocalAttribs,60
f8,f0,42,LocalAttribs,60
f8,e8,43,LocalAttribs,60
