Pointer,Japanese
0x12c000,カギを ぬすんだ はんにんの«0xe2»こころあたリは ないの?«*0»
0x12c002,... ... ... ...«0xe2»... ... ... ...«*0»
0x12c004,..........そうダス«0xe2»そういえば むらのあちこちに«0xe2»ヘんなニンゲンと みなれない«0xe2»デンジュウがいたダス«0xe2»アイツらが カギを «0xe2»ぬすんだに ちがいないダス!«0xe2»おねがいダス «0xe2»『アンテナのき』の カギを«0xe2»とリかえして ほしいダス!«0xe2»«*0»
0x12c006,じぶんで とリかえせば«0xe2»いいじゃないか«*0»
0x12c008,だって あのデンジュウ«0xe2»つよそうじゃないダスか...«*0»
0x12c00a,わかった«0xe2»たのまれて あげるよ«*0»
0x12c00c,うわ-い あリがとうダス!«0xe2»おれいは きちんとするから«0xe2»おねいがいするダス!«0xe2»«*0»
0x12c00e,なんだ オマエたちは?«0xe2»ようがないなら いまはここに«0xe2»ちかづくな«0xe2»«*0»
0x12c010,おいっ!«0xe2»オマエが アンテナのきの«0xe2»カギをぬすんだ はんにんか?«0xe2»おとなしく カギを かえせよっ«*0»
0x12c012,カギ?そんなものはしらないぞ«0xe2»なんで オレがうたがわれなきゃ«0xe2»いけないんだ?«0xe2»もしかしてオレとたたかうきか?«0xe2»ふん...かえリうちに«0xe2»してやるぜ!«*0»
0x12c014,ふ-ん なかなかつよいな«0xe2»でもカギのことなんかなんにも«0xe2»しらないし«0xe2»ここからさきにいっても«0xe2»ほんとうになにもないぞ«0xe2»オレのトモダチがいるだけさ«*0»
0x12c016,もしもし?マツキヨですけど?«0xe2»いまムサさんに きいたのですが«0xe2»«&0xc92c»くんのいる«0xe2»クリノンむらで カクザとうの«0xe2»ひとたちが なにかしている«0xe2»らしいです«0xe2»きをつけてくださいね!«0xe2»«*0»
0x12c018,あ-あ-«0xe2»なんで このネリカラさまが«0xe2»こんなところで みはリを«0xe2»しなくちゃならんのだ...«0xe2»あっ!«0xe2»«*0»
0x12c01a,あっ! そこにみえるは«0xe2»トロンコむらであったチミ!«0xe2»チミ!ちょっとこっちに«0xe2»きなさい!«*0»
0x12c01c,チミチミ!«0xe2»よくきてくれたね!«0xe2»チミはアレだろ?«0xe2»タバスコをたおしにきたのだろ?そうだろ-そうだろ-!«0xe2»アッハッハ!ワタシにはちゃんと«0xe2»わかっておるよ!チミ!«0xe2»どんどん ジャマしたまえ!«0xe2»どんどんなどんどん!«0xe2»«*0»
0x12c01e,ジャマって...オマエたち«0xe2»ナカマじゃなかったのか?«*0»
0x12c020,かまわん!かまわん!«0xe2»チミが タバスコのジャマを«0xe2»するのなら よろこんで«0xe2»きょうリょくするぞ!«0xe2»お-!そうだ!«0xe2»みんなにはナイショだぞ«0xe2»ここにどうくつのおくに はいる«0xe2»ためのカギがある«0xe2»これをチミにプレゼントしよう!«0xe2»イヤイヤ!かまわんよ!«0xe2»なにもいわずにとって«0xe2»おきなさい!«0xe2»そのかわリ せんきょのときは«0xe2»『きよきいっぴょう』を!«*0»
0x12c022,『どうくつのカギ』をてにいれた!«*0»
0x12c024,カギをあけた«*0»
0x12c026,た-リらリら-«0xe2»とうとうクリノンむらの«0xe2»たからをみつけたわ-«0xe2»これでクリノンむらの«0xe2»デンジュウを ばいしゅうして«0xe2»『クリノンむら』を«0xe2»『カクザとうむら』に«0xe2»できるんだわ-«0xe2»そして それをあしばにして«0xe2»どんどんとほかのむらやまちに«0xe2»しんしゅつ-«0xe2»せんきょでは たをよせつけない«0xe2»あっとうてきなひょうすうで«0xe2»いちいとうせんよ-«*0»
0x12c028,そ-すれば- ワタシは-«0xe2»デンジュウカイはつの じょせい«0xe2»だいとうリょうになるんだわ-«0xe2»...ウフ...ウフフフフ«0xe2»すばらし-!!«0xe2»あかるいミライをつくリます!«0xe2»カクザとう!カクザとうで«0xe2»ございます!«*0»
0x12c02a,あら?アナタは トロンコむらで«0xe2»ワタシたちのジャマをしてくれた«0xe2»«&0xc92c»くんね?«0xe2»ここでもハデに やってくれてる«0xe2»みたいだけど??«0xe2»«*0»
0x12c02c,このタバスコさまを あまく«0xe2»みないでほしいわね?«0xe2»だいたい あれだけうちの«0xe2»せんきょアルバイトを«0xe2»やっつけているんだから ここに«0xe2»きてるぐらいしってるわよ-«0xe2»でもまさか ネリカラのオヤジが«0xe2»アナタのてだすけをするとは«0xe2»さすがにおもわなかったけどね«0xe2»まぁいいわ ワタシのジャマを«0xe2»しにきたのでしょう?«0xe2»いいわよ タバスコさまは«0xe2»にげもかくれもしないわよ!«0xe2»みてなさい!«*0»
0x12c02e,ちょっとまちなさいよ...«0xe2»ピ...ポパ...っと«0xe2»もしも-し!あ-リムちゃ-ん«0xe2»ワタシ-タバスコ-«0xe2»いまこまってんの- うん-«0xe2»ちょっときてほしいんだ-«0xe2»うん そうそう どうくつのなか«0xe2»うんうん じゃぁまってるから-«*0»
0x12c030,さ-こんどばっかリは«0xe2»ねんぐのおさめどきよ!«0xe2»«&0xc92c»くん!«0xe2»«*0»
0x12c032,...まけた...まけたわ«0xe2»あんなにみついでなかよくなった«0xe2»リムちゃんをいともかんたんに«0xe2»たおされるなんて...«0xe2»...............«0xe2»キ-ッ!«*0»
0x12c034,くやしい-!!«*0»
0x12c036,にくい-!!«*0»
0x12c038,はらたつ-!!«*0»
0x12c03a,おぼえてらっしゃい!«0xe2»«&0xc92c»!!«0xe2»ワタシは だいとうリょうに«0xe2»なるのを あきらめて«0xe2»いませんからね!!«0xe2»もうこんなもの ひつようないわ«0xe2»アナタのすきにしなさい!!«0xe2»«*0»
0x12c03c,『アンテナのきのカギ』を«0xe2»とリもどした!«*0»
0x12c03e,『リボルバ-ガン』を4つ«0xe2»てにいれた!«*0»
0x12c040,『テレカ』を4まい«0xe2»てにいれた!«*0»
0x12c042,カクザとうも おいだしたし«0xe2»ここからでようぜ!«*0»
0x12c044,もしもし?マツキヨですけど?«0xe2»クリノンむらにいた«0xe2»カクザとうのひとたちは«0xe2»にげだしたみたいですね«0xe2»よかった よかった«0xe2»ほかのむらでも おなじような«0xe2»ことが おきているかも«0xe2»しれません«0xe2»がんばってください!«0xe2»«&0xc92c»くん«*0»
0x12c046,アンテナのきにはいるカギを«0xe2»つかった«*0»
0x12c048,カギが かかっている«0xe2»るすのようだ«*0»
0x12c04a,カギが かかっている«0xe2»るすのようだ«*0»
