Pointer,Japanese,English
 #######, colspan=2 | '''074 (partial)                                                     '''
0x110000,"みなみのしまにすんでる
おサルさんのうただよ!
 うたって! ふ-ん<*A>",/0x110000/<*A>
0x110002,"なんだしってるのか!
つまんないの-!!
 うたうか? そんな-<*A>",/0x110002/<*A>
0x110004,"はずかしいよ このうたは
けっこう ゆうきがいるもん!<*2>",/0x110004/<*2>
0x110006,"なんだよきゅうに そっけないな
もしかしてうたヘタなのか?<*2>",/0x110006/<*2>
0x110008,"よ-し!...あれ?
さいしょのでだしなんだっけ?<*2>",/0x110008/<*2>
0x11000a,"うそだよ!もしかして
しらないかとおもってさ!<*2>",/0x11000a/<*2>
 #######, colspan=2 | '''075                                                     '''
0x11000c,"オレがいちばんすきなうたは!
『おおきなのっぽのふるどけい』
 オレもすき そうなの?<*A>",/0x11000c/<*A>
0x11000e,"とけいは おじいさんと
ずっといっしょだったんだよな!
 そうだね ずっと?<*A>",/0x11000e/<*A>
0x110010,"オマエ きいたことないのか?
だったらきいたほうがいいぞ!
 わかった え-<*A>",/0x110010/<*A>
0x110012,"なんどきいても
いいんだよな- これが!<*2>",/0x110012/<*2>
0x110014,"そうだよ!おじいさんが
うまれてからずっとだぜ!<*2>",/0x110014/<*2>
0x110016,"かんそうをきかせてくれよ!
ぜったいかんどうするぜ!<*2>",/0x110016/<*2>
0x110018,"オマエ..このうたをしらないと
そんするぞ!ほんとだぞ!<*2>",/0x110018/<*2>
 #######, colspan=2 | '''076                                                     '''
0x11001a,"さあ みなさんごいっしょに!
『おおきなくリのきのしたで』
 きゅうだな なにそれ?<*A>",/0x11001a/<*A>
0x11001c,"きゅうでもなんでも
やるったらやるの!!
 わかった わからない<*A>",/0x11001c/<*A>
0x11001e,"しらないのか!ちいさいころ
みんな おしえてもらうんだろ?
 わすれた そんなことない<*A>",/0x11001e/<*A>
0x110020,"せ-の!お~おきなくリの~
きのしたで~ ちゃんとできた?<*2>",/0x110020/<*2>
0x110022,"ふリがわからない?
デンワじゃおしえられないよ!<*2>",/0x110022/<*2>
0x110024,"おもいだして!おもいださないと
ダメだよ!!<*2>",/0x110024/<*2>
0x110026,"おしえてもらってないのか?
じゃあ しょうがないね<*2>",/0x110026/<*2>
 #######, colspan=2 | '''077                                                     '''
0x110028,"おしえてほしいんだけど
『はるがきた』ってしってる?
 しってる ちょっと<*A>",/0x110028/<*A>
0x11002a,"やまにきた さとにきたのあと
なににきたんだっけ?
 のにもきた いにもきた<*A>",/0x11002a/<*A>
0x11002c,"なんかこのうたをきくと
ほんわかしたきぶんになるよね
 そうだね そうでもない<*A>",/0x11002c/<*A>
0x11002e,"そうか...いろんなところに
はるがやってきたんだね!<*2>",/0x11002e/<*2>
0x110030,いに はるがくる?どういうこと?ちょうしがいいってこと?<*2>,/0x110030/<*2>
0x110032,"やっぱリこのメロディ-が
いいんだとおもうんだよね!<*2>",/0x110032/<*2>
0x110034,"なんで?オレがもういちど
うたってやろうか?<*2>",/0x110034/<*2>
 #######, colspan=2 | '''078                                                     '''
0x110036,"『めだかのがっこう』だけどさ
あれはどこにあるの?
 しらない きまってない<*A>",/0x110036/<*A>
0x110038,"ぜったいどっかにあると
オレはおもうんだけどね!
 そうかな ないよ<*A>",/0x110038/<*A>
0x11003a,"それじゃあ どこにでも
あるっていうのか?
 あるんじゃん かぎられてる<*A>",/0x11003a/<*A>
0x11003c,"そうだよ!こんどオマエも
さがしてみろよ!<*2>",/0x11003c/<*2>
0x11003e,"いや!オレはあきらめないぞ!
みたってやつをさがしてやる!<*2>",/0x11003e/<*2>
0x110040,"それじゃあ つまらないな
どこにでもあるのか...<*2>",/0x110040/<*2>
0x110042,"みずがきれいじゃないと
いけないのか..なるほどな!<*2>",/0x110042/<*2>
 #######, colspan=2 | '''079                                                     '''
0x110044,"なんかさ クリスマスのうたって
すきなんだよね-
 なんで? そうかな<*A>",/0x110044/<*A>
0x110046,"なんか ワクワクするっていうか
ドキドキするっていうか...
 わかるよ それはね<*A>",/0x110046/<*A>
0x110048,"クリスマスのうたきらい?
オレはだいすきなんだけどな!
 サンタしってる? きらい<*A>",/0x110048/<*A>
0x11004a,"そっか わかってくれるか!
いったいどうしてなんだろうな?<*2>",/0x11004a/<*2>
0x11004c,"サンタさん?いいこにしてれば
プレゼントもらえるのか!!<*2>",/0x11004c/<*2>
0x11004e,"サンタさん?どんなひと?
ふだんはなにしてるひとなの?<*2>",/0x11004e/<*2>
0x110050,"なんで!なんかいやな
おもいででもあるのか?<*2>",/0x110050/<*2>
 #######, colspan=2 | '''080                                                     '''
