Pointer,Japanese,English
 #######, colspan=2 | '''185                                                      '''
0x94000,"モシモシ?デンワくれた?
 したよ してない<*A>","Hello? Did you just call me?
 <0> I did <0> Nope<*A>"
0x94002,ゴメンきづかなかったよ<*2>,"Sorry, I didn't notice it ringing in time!<*2>"
0x94004,じゃあだれだろう?そんだけ<*2>,I wonder who it was then? Huh.<*2>
 #######, colspan=2 | '''186                                                      '''
0x94006,"もう!しんじらんない!
 どうしたの? またおこってる<*A>",/0x94006/<*A>
0x94008,"きいてよ!トモダチにオモチャ
かしたらこわしたんだ!!
 ヒドイなあ ゆるしてやれよ<*A>",/0x94008/<*A>
0x9400a,"おこるさ!いまおこらないで
いつおこるんだよ!!
 いつもおこってる いま<*A>",/0x9400a/<*A>
0x9400c,もうアイツとはクチきかないんだ<*2>,/0x9400c/<*2>
0x9400e,あやまってきたらな<*2>,/0x9400e/<*2>
0x94010,そんなことないさ!!<*2>,/0x94010/<*2>
0x94012,そうだ!いまだ!<*2>,/0x94012/<*2>
 #######, colspan=2 | '''187                                                      '''
0x94014,"デンジュウはとベるのととベない
のがいるけど ニンゲンも?
 とベるわけないよ どうだろ?<*A>",/0x94014/<*A>
0x94016,"そうなの?ニンゲンってみんな
とベないんだ?ヘぇ-
 いけない? そうだよ<*A>",/0x94016/<*A>
0x94018,"みたことないの?じゃあとベる
ヒトはめずらしいんだ
 そうそう なんてね<*A>",/0x94018/<*A>
0x9401a,そんなことないよ!<*2>,/0x9401a/<*2>
0x9401c,だからヒコウキがあるんだね<*2>,/0x9401c/<*2>
0x9401e,こんどつかまえにいこうよ!<*2>,/0x9401e/<*2>
0x94020,え?ホントはいないの<*2>,/0x94020/<*2>
 #######, colspan=2 | '''188                                                      '''
0x94022,"さっきおおきなヘビがでたよ!
 おっきかった? みたかった<*A>",/0x94022/<*A>
0x94024,"モノスゴイおおきさだったよ!
 スゴイね! ホントに?<*A>",/0x94024/<*A>
0x94026,"おぅ みせたかったよ!
 つかまえてみせて ざんねん<*A>",/0x94026/<*A>
0x94028,ほんとスゴイよ マジで!<*2>,/0x94028/<*2>
0x9402a,うそっぽくきこえる??<*2>,/0x9402a/<*2>
0x9402c,ムリだよ!チョ-でかいんだぞ!<*2>,/0x9402c/<*2>
0x9402e,"そんなにヘビすきなのか?
こんどみかけたらデンワするよ<*2>",/0x9402e/<*2>
 #######, colspan=2 | '''189                                                      '''
0x94030,"<&name>はスキキライ
ある?
 ある ないよ<*A>",/0x94030/<*A>
0x94032,"なにがスキなの?
 あまいもの しょっぱいもの<*A>",/0x94032/<*A>
0x94034,"そうなんだ-えらいな
 あるの? なんでもたベなきゃ<*A>",/0x94034/<*A>
0x94036,あまいものはウマイよなぁ<*2>,/0x94036/<*2>
0x94038,"<&name>なかなか
シブイなあ<*2>",/0x94038/<*2>
0x9403a,じつはイッパイあるんだ<*2>,/0x9403a/<*2>
0x9403c,そうだよなぁ がんばるよ!<*2>,/0x9403c/<*2>
 #######, colspan=2 | '''190                                                      '''
0x9403e,"オイ <&name>!オレっておこリんぼうにみえるのか!!
 もうおこってる みえない<*A>",/0x9403e/<*A>
0x94040,"そんなことないぞ!!
 おこってるよ!! ああそぅ<*A>",/0x94040/<*A>
0x94042,"やっぱリ みえないよなぁ
 うん たぶんね<*A>",/0x94042/<*A>
0x94044,なんでオマエがおこるんだ??<*2>,/0x94044/<*2>
0x94046,イイカゲンなヘんじすんな!<*2>,/0x94046/<*2>
0x94048,はぁ よかった-アリガトな <*2>,/0x94048/<*2>
0x9404a,『たぶん』ってなんだよお!<*2>,/0x9404a/<*2>
 #######, colspan=2 | '''191                                                      '''
0x9404c,"オレのトモダチがぜんぜん
デンワにでないんだよ!!
 どうしたのかな キラワレたね<*A>",/0x9404c/<*A>
0x9404e,"シンパイだよなぁ
 うん ようすみてくれば?<*A>",/0x9404e/<*A>
0x94050,"そ そうなのか?
 ダイジョウブだよ う-ん<*A>",/0x94050/<*A>
0x94052,デンワこないかなぁ<*2>,/0x94052/<*2>
0x94054,そうだな チョットみてくる<*2>,/0x94054/<*2>
0x94056,ホントに?ダイジョウブ?<*2>,/0x94056/<*2>
0x94058,え?なんでかんがえこんでるの?<*2>,/0x94058/<*2>
 #######, colspan=2 | '''192                                                      '''
0x9405a,<&name>ゲンキにしてる? カゼひいた ゲンキだよ<*A>,/0x9405a/<*A>
0x9405c,"カゼ?ダイジョウブか?
 なんとか もうダメ<*A>",/0x9405c/<*A>
0x9405e,"そうか<&name>はいつも
ゲンキだな
 うん そうかな?<*A>",/0x9405e/<*A>
0x94060,ひどくならないうちになおせよ<*2>,/0x94060/<*2>
0x94062,イシャにいかなきゃダメだぞ!<*2>,/0x94062/<*2>
0x94064,ゲンキはいいことだ!<*2>,/0x94064/<*2>
0x94066,"うん!<&name>でも
カゼひくのか?<*2>",/0x94066/<*2>
 #######, colspan=2 | '''193                                                      '''
0x94068,"アキカンってもえるゴミ?
 そうだよ ちがうよ<*A>",/0x94068/<*A>
0x9406a,"こんなにカタくてももえるのか?
 うん まちがえた<*A>",/0x9406a/<*A>
0x9406c,"もえないゴミなんだ
 そう ちゃんとわけてね<*A>",/0x9406c/<*A>
0x9406e,ホントにホントかぁ-??<*2>,/0x9406e/<*2>
0x94070,だろ?やっぱリもえないんだ<*2>,/0x94070/<*2>
0x94072,よし わかったぞ!サンキュ-<*2>,/0x94072/<*2>
0x94074,おう!きちんとわけるぜ!<*2>,/0x94074/<*2>
 #######, colspan=2 | '''194                                                      '''
0x94076,"なぁ オレ <&name>に
ホンかリた?
 うん かしてない<*A>",/0x94076/<*A>
0x94078,ゴメン もうちょっとまって<*2>,/0x94078/<*2>
0x9407a,"そっかわかった じゃあ
こんどあったらかえすよ<*2>",/0x9407a/<*2>
 #######, colspan=2 | '''195                                                      '''
