#,English
1,DUMMY
2,CLAW
3,RUSH
4,STRIKE
5,CATPUNCH
6,BISONHIT
7,KICKING
8,TAIL
9,HORN
10,BEAK
11,TOXSTING
12,ZAPSTING
13,SCISSORS
14,SABER
15,BITE
16,BODYSLAM
17,DRILL
18,BLOODLET
19,SHURIKEN
20,BOW GUN
21,BISONGUN
22,STAGBEAM
23,WAVEBEAM
24,P.LASER
25,MEGABEAM
26,M.CANNON
27,M.RIFLE
28,DRILLBOM
29,HYPERBOM
30,DRAGOBOM
31,PENGUBOM
32,BOMB POD
33,PARTSHOT
34,HARPOON
35,HORNSHOT
36,TRIZOOKA
37,MAGNUM
38,E.VULCAN
39,T.VULCAN
40,MACHGUN
41,FLAMEGUN
42,FIREBALL
43,FIREBEAM
44,AIRBLADE
45,TYPHOON
46,ICESTORM
47,BLIZZARD
48,EGG BOMB
49,RIPTIDES
50,TSUNAMI
51,STATIC
52,MEGABOLT
53,QUAKE
54,S.QUAKE
55,ROCK
56,MEGAROCK
57,SPEED UP
58,MEDITATE
59,EVASION
60,ENLIVEN
61,BUILD UP
62,CURE
63,RESTORE
64,RECOVERY
65,SHIELD
66,PROTECT
67,IRONWALL
68,CONCEAL
69,UL.SONIC
70,MAG.WAVE
71,SLP.SONG
72,LULLABY
73,GLOWER
74,SLEEPGAS
75,SMOKE
76,TOXICGAS
77,JUMP
78,FLY
79,SHOUT
80,FLAP
81,BARRIER
82,RUPTURE
83,COLD AIR
84,WARM AIR
85,FLOOD
86,SPITACID
87,LICK
88,TENTACLE
89,ICE BALL
90,PAL DOWN
91,STATDOWN
92,IRONCLAW
93,ASSAULT
94,MSLPUNCH
95,RZRPUNCH
96,HOOF
97,HIGHKICK
98,MID KICK
99,STAB
100,TRIPUNCH
101,TOXFLASH
102,ZAPFLASH
103,CROSSCUT
104,VACUUM
105,MANGLE
106,PUNT
107,SPINHORN
108,DRAIN
109,ELECDART
110,SPIKE
111,SPRINT
112,TAKE AIM
113,AVOID
114,PERSIST
115,DUMMY-«0x31»
116,MEDICINE
117,REPAIR
118,DUMMY-«0x32»
119,SHUTTER
120,DEFENSE
121,DUMMY-«0x33»
122,HIDE
123,ELECWAVE
124,SHOCKWAV
125,DUMMY-«0x34»
126,DUMMY-«0x35»
127,FIXATE
128,DUMMY-«0x36»
129,DUMMY-«0x37»
130,DUMMY-«0x38»
131,DUMMY-«0x39»
132,DUMMY-«0x31»«0x30»
133,GRIND
134,DUST
135,E.SCREEN
136,EVIL EYE
137,FROST
138,BLOSSOMS
