#,English
1, «7»Hjc
2,«0x14»«c»«6»t?c
3,«b»«0x15»«4»|PJCG
4,VI«0x96»Hjc
5,«0x14»«0xcd»)?c
6,«b»%(Bc
7,%«7»«a»Bc
8,Gc@c=
9,s«0x36»«0xcd»s«0x36»«0x12»
10,«0x3c»«0x87»a
11,~«0xcd»G
12,«8»«0x16»«b»w?c
13,",.wBc"
14,@c«0x3e»k:«0x39»c
15,«0x3c»cLPA
16,«8»'«0x1c»«0x14»Q=E
17,*«0x85»«0x1f».
18,TCP
19,«0x3e»A(Z
20,«7».w«0xcd»«0x1f»«0x1f»
21,«9»«2»~m«0xcd»)
22,«0x1c»/.m(«1».
23,|«0xcd»{
24,«0x1f»«0x16»«1»
25,z«0x30»«1» «0x3c»«0x96»Bc
26,«0x97»«0xcd»«0x8d»g«0xcd»
27,«0x1a»«0x34»«8»)«0x14»!
28,«d»«2»«d»«2»«d»«2»«0x1f»«0xcd»
29,«6»'«0x13»«0x1f».
30,q«0xcd»q«0xcd»*«0xcd»«b»«0xcd»
31,«0x83»)A:
32, «9»
33,«0x7f»«2»}«0xcd»
34,«6» «0x15»(«0x3c»Z«0x8d»
35,«6»s«0x3c»Z«0x8d»
36,s«c».«0x3c»Z«0x8d»
37,«6»«2»
38,«0x18»(«6»'
39,Kakuza
40,Tabasco
41,«b»«0x15»«4»|
42,B«0x39»K:
43,B«0x39»K:
44,B«0x39»K:
45,B«0x39»K:
46,B«0x39»K:
47,B«0x39»K:
48,B«0x39»K:
