#,English
1,Flamegun
2,Gun
3,Revolver
4,Bazooka
5,Mach Gun
6,Missile
7,Bomb
8,Gat Gun
9,Sabre
10,Drill
11,Jet Eng
12,Prop Eng
13,Shuriken
14,Battery
15,Archery
16,Range
17,Iron
18,Mixer
19,Phone
20,Antenna
21,Spanner
22,Saw
23,Chainsaw
24,Beam Gun
25,Axe
26,Screwdrv
27,Screw
28,Spring
29,Gear
30,Telecard
31,Lance
32,Crane
33,Knife
34,Sickle
35,Computer
36,Laptop
37,Hammer
38,Syringe
39,Camera
40,Video
41,Frypan
42,Pencil
43,Tyre
44,Gas Tank
45,Faucet
46,Bucket
47,Vacuum
48,Mouse
49,Key
50,Gameboy
51,Plush
52,Bom Bom
53,Scooter
54,Titarium
55,Lunatium
56,Gaiamond
57,R. Medal
58,Titanyum
59,ModPass«0x31»
60,ModPass«0x32»
61,ModPass«0x33»
62,ExpPass«0x31»
63,ExpPass«0x32»
64,ExpPass«0x33»
65,Biolent«0x33»
66,Graplit«0x39»
67,Gigaia«0x30»«0x30»
68,Item
