32,32,32,32,32,2,3,4,8,9,10,11,5,6,7,32,32,32,32,32
32,32,32,32,32,20,0,0,12,13,14,15,0,0,21,32,32,32,32,32
32,32,32,32,32,20,22,22,16,17,18,19,22,22,21,32,32,32,32,32
32,32,32,32,32,23,0,0,0,0,0,0,0,0,24,32,32,32,32,32
37,37,37,37,37,23,64,65,66,67,68,69,70,71,24,37,37,37,37,37
40,40,40,40,40,23,72,73,74,75,76,77,78,79,24,40,40,40,40,40
40,40,40,40,40,23,80,81,82,83,84,85,86,87,24,40,40,40,40,40
43,44,45,46,47,23,88,89,90,91,92,93,94,95,24,48,46,43,44,45
49,50,51,52,0,23,96,97,98,99,100,101,102,103,24,0,53,49,50,51
54,55,56,57,0,23,104,105,106,107,108,109,110,111,24,0,34,54,63,63
63,59,60,57,0,23,112,113,114,115,116,117,118,119,24,0,58,63,55,56
49,63,63,61,0,23,0,0,0,0,0,0,0,0,24,0,62,49,59,60
