128,128,128,128,128,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128
128,128,128,128,128,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128
128,128,128,128,128,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128
131,131,131,131,131,0,0,0,0,0,0,0,0,0,0,131,131,131,131,131
134,134,134,134,134,0,0,0,0,0,0,0,0,0,0,134,134,134,134,134
137,137,137,137,137,0,0,0,0,0,0,0,0,0,0,137,137,137,137,137
139,137,138,139,137,0,0,0,0,0,0,0,0,0,0,138,139,137,137,138
145,144,145,145,144,0,0,0,0,0,0,0,0,0,0,145,145,144,144,145
128,128,128,128,152,0,0,0,0,0,0,0,0,0,0,153,128,128,128,128
150,150,150,129,0,0,0,0,0,0,0,0,0,0,0,0,130,150,150,150
151,151,151,152,0,0,0,0,0,0,0,0,0,0,0,0,153,151,151,151
155,155,155,156,0,0,0,0,0,0,0,0,0,0,0,0,157,155,155,155
,
