Y,X,Tile Offset,Attribute Mixing,Attributes
e8,e8,44,LocalAttribs,0
e8,f0,45,LocalAttribs,0
e8,8,45,LocalAttribs,20
e8,10,44,LocalAttribs,20
f0,e8,44,LocalAttribs,0
f0,f0,45,LocalAttribs,0
f0,8,45,LocalAttribs,20
f0,10,44,LocalAttribs,20
f8,e8,44,LocalAttribs,0
f8,f0,45,LocalAttribs,0
f8,8,45,LocalAttribs,20
f8,10,44,LocalAttribs,20
0,e8,44,LocalAttribs,0
0,f0,45,LocalAttribs,0
0,8,45,LocalAttribs,20
0,10,44,LocalAttribs,20
8,e8,44,LocalAttribs,0
8,f0,45,LocalAttribs,0
8,8,45,LocalAttribs,20
8,10,44,LocalAttribs,20
10,e8,44,LocalAttribs,0
10,f0,45,LocalAttribs,0
10,8,45,LocalAttribs,20
10,10,44,LocalAttribs,20
18,e8,44,LocalAttribs,0
18,f0,45,LocalAttribs,0
18,8,45,LocalAttribs,20
18,10,44,LocalAttribs,20
