32,33,32,32,32,2,3,4,8,9,10,11,5,6,7,32,32,32,36,32
33,32,32,32,32,20,0,0,12,13,14,15,0,0,21,32,32,32,32,36
32,32,32,32,32,20,22,22,16,17,18,19,22,22,21,32,32,32,32,32
32,33,32,32,33,23,0,0,0,0,0,0,0,0,24,36,32,32,36,32
33,32,32,33,37,23,64,65,66,67,68,69,70,71,24,38,36,32,32,36
32,33,33,37,0,23,72,73,74,75,76,77,78,79,24,0,38,36,36,32
32,39,40,0,0,23,80,81,82,83,84,85,86,87,24,0,0,41,39,32
32,32,42,43,0,23,88,89,90,91,92,93,94,95,24,0,44,45,32,32
46,46,46,46,47,23,96,97,98,99,100,101,102,103,24,48,46,46,46,46
49,49,49,49,51,23,104,105,106,107,108,109,110,111,24,52,49,49,49,49
53,53,53,54,55,23,112,113,114,115,116,117,118,119,24,55,56,53,53,53
53,53,54,55,0,23,0,0,0,0,0,0,0,0,24,0,55,56,53,53
,
