32,33,34,35,32,2,3,4,8,9,10,11,5,6,7,38,39,40,41,38
33,34,35,32,33,20,0,0,12,13,14,15,0,0,21,41,38,39,40,41
34,35,32,33,34,20,22,22,16,17,18,19,22,22,21,40,41,38,39,40
35,32,33,34,35,23,0,0,0,0,0,0,0,0,24,39,40,41,38,39
32,33,34,35,32,23,64,65,66,67,68,69,70,71,24,38,39,40,41,38
33,34,35,32,33,23,72,73,74,75,76,77,78,79,24,41,38,39,40,41
34,35,32,33,34,23,80,81,82,83,84,85,86,87,24,40,41,38,39,40
35,32,33,34,59,23,88,89,90,91,92,93,94,95,24,59,40,41,38,39
50,51,50,44,52,23,96,97,98,99,100,101,102,103,24,53,45,50,51,50
54,54,54,57,0,23,104,105,106,107,108,109,110,111,24,0,58,55,56,54
54,55,56,48,0,23,112,113,114,115,116,117,118,119,24,0,49,59,60,54
54,59,60,61,0,23,0,0,0,0,0,0,0,0,24,0,62,54,54,54
,
