#,English
1,TSUNONAS
2,KOCHIA
3,OSHE
4,KESHI
5,CRYPTO
6,MONSTERA
7,FUNGUS
8,HIOUGI
9,PUNICA
10,GUMI
11,SUGURI
12,GANRAIKO
13,BYAKUBU
14,TELOPEA
15,MANTEA
16,IXORA
17,MYRTUS
18,LYCHNIS
19,LAPIEROU
20,BULBARIA
21,ANGIOS
22,GYMNOS
23,LIRIOPE
24,WARATAH
25,SORGHUM
26,ERYNGO
27,NORIUTSU
28,PAMPAS
29,RHODANTH
30,LICORICE
31,VIBURNUM
32,FUNNEL
33,VANDA
34,UIKYOU
35,OBANA
36,FIREKOKK
37,RAYGOTEN
38,DRIARMOR
39,CHAMELAN
40,CRYPTOAR
41,SHELLSTE
42,FUNGEIST
43,BALLTAMU
44,BURENICA
45,GERON
46,BERZELIA
47,NIGELLA
48,MUSA
49,NETARO
50,NEJIRO
51,GODETIA
52,CURCUMA
53,TESSEN
54,HELIOPSI
55,HAGUMANO
56,GILEARTH
57,RAYGIRTH
58,ARMARU
59,CHAMERAI
60,CRYPTORI
61,WORMITER
62,FUNBLADE
63,BULLTAMU
64,PUNEEDLE
65,KERORIN
66,SUGULAI
67,CORTOS
68,GAIURUS
69,MIDDOTOR
70,OCTOR
71,HITODEIG
72,GHOSBOAR
73,RASENMAI
74,SCORPIL
75,ARMCRAB
76,ANGIORN
77,GYMRACE
78,LIRIONPU
79,WAITAH
80,POTZAL
81,ARANEIDA
82,GADHOROU
83,CLIOGERA
84,GUST
85,REIGE
86,TOGERUKA
87,RAIGALEO
88,GADORUKU
89,ABIRASU
90,ARUFAGOS
91,KIYOORUK
92,GYMGARTH
93,BAIONPU
94,WARUTAH
95,GUNTZATL
96,ARUKIDA
97,BADHOROU
98,LAMPGERA
99,TEMPEST
100,ZUDOON
101,HIYU
102,GAMAZUMI
103,PAPAVER
104,GAMURU
105,BOUVARDI
106,GAULTHER
107,DIPSACUS
108,KAYA
109,DENFARE
110,ANGIEON
111,EASYDOG
112,TRICERAR
113,CRYPTOSN
114,FUNBOOST
115,VEENICA
116,SAIGULIG
117,ARMEDURU
118,OCTORIFL
119,ERASERBO
120,SPEARNEE
121,GILGIEAR
122,UNIARMOR
123,CRYPTOBU
124,FUNMACHI
125,PUNISTO
126,SUGULINE
127,MACHURUS
128,OCTAGUN
129,MUMMYBOA
130,KINGPIN
131,BEEBALM
132,SALAL
133,ENISHIDA
134,TULBAGHI
135,KIRINGIK
136,ANGILANC
137,GYMGANON
138,SAIOOPE
139,WATTAH
140,QUETZAKI
141,ARAKUUDA
142,PUNKHORO
143,BAIKINGU
144,STORM
145,MUTOOM
146,GYPSOPHI
147,RUSCUS
148,MAORAN
149,ZEA
150,GONUM
151,ANGIPOWE
152,GYMZYRUS
153,CANONOPE
154,CALM
155,RYUUGUU
156,GIGAGIER
157,BARRIARM
158,CRYPTOKN
159,FUNGWAR
160,BASHOU
161,ANGIGORG
162,GYMBARON
163,LIRIMONA
164,ENTEIOU
165,GOLAKING
166,KANZOU
167,ORNITHOG
168,GENTIANA
169,YARROW
170,ANGIOROS
171,GYMZATAN
172,DOOMSDAY
173,DENDEL
174,TELETEL
175,--------
