Y,X,Tile Offset,Attribute Mixing,Attributes
f8,e8,40,LocalAttribs,0
f8,f0,41,LocalAttribs,0
f8,f8,40,LocalAttribs,0
f8,0,41,LocalAttribs,0
f8,8,40,LocalAttribs,0
f8,10,41,LocalAttribs,0
0,e8,44,LocalAttribs,0
0,f0,45,LocalAttribs,0
0,f8,44,LocalAttribs,0
0,0,45,LocalAttribs,0
0,8,44,LocalAttribs,0
0,10,45,LocalAttribs,0
8,e8,44,LocalAttribs,0
8,f0,45,LocalAttribs,0
8,f8,44,LocalAttribs,0
8,0,45,LocalAttribs,0
8,8,44,LocalAttribs,0
8,10,45,LocalAttribs,0
10,e0,49,LocalAttribs,20
10,e8,4a,LocalAttribs,0
10,f0,4b,LocalAttribs,0
10,f8,4a,LocalAttribs,0
10,0,4b,LocalAttribs,0
10,8,4a,LocalAttribs,0
10,10,4b,LocalAttribs,0
10,18,46,LocalAttribs,20
